artist_name,biography,listeners,playcount,similar_artists
KLAPA CAMBI (KAŠTEL KAMBELOVAC)," <a href=""https://www.last.fm/music/KLAPA+CAMBI+(KA%C5%A0TEL+KAMBELOVAC)"">Read more on Last.fm</a>",1223,12730,[]
Nam Jin," <a href=""https://www.last.fm/music/Nam+Jin"">Read more on Last.fm</a>",1180,7483,"['Lee Mi Ja', 'Jin Sung', 'Cho Yong Pil', 'JANG YOON-JEONG', '오승근']"
Satish Das," <a href=""https://www.last.fm/music/Satish+Das"">Read more on Last.fm</a>",76,180,"['kumar pritam', 'Samar Singh', 'Khesari Lal Yadav', 'Neelkamal Singh', 'Shilpi Raj']"
Mus Mulyadi,"Mus Mulyadi (Surabaya, Java, Indonesia, August 14, 1945  - April 11, 2019) was an Indonesian kroncong and pop Jawa singer.

He sang in bahasa indonesia. He influenced many javanese pop-jawa singers in Surinam. He was known as ""Buaya Keroncong"" (Kroncong Crocodile).  Some of is his songs are ""Kota Solo"", ""Dinda Bestari"", ""Telomoyo"", and ""Jembatan Merah"". He was a member the ""Favourite Band"". His wife is also singer, Helen Sparingga, and his brother is Mus Mujiono known as pop and jazz singer in the midlle of 1980. <a href=""https://www.last.fm/music/Mus+Mulyadi"">Read more on Last.fm</a>",1808,20340,"['Sundari Soekotjo', 'The Krontjong Minstrels', 'Gesang', 'Pantja Warna', 'Toto Salmon']"
Zainal Abidin,"Zainal abidin is famed for his unique musical style which is so often associated with the Afro-Asian sound. This unique sound became a new element in the Malaysian music industry created by Zainal abidin himself. 

Inspiration and influences come from both his parents who loved the Malaysian traditional music such as the Ghazal and Gamelan, added with his own musical taste in the progressive rock and jazz genre. 

The strength in the melodious musical <a href=""https://www.last.fm/music/Zainal+Abidin"">Read more on Last.fm</a>",2912,28661,"['M. Nasir', 'Dia Fadila', 'Jamal Abdillah', 'Sudirman', 'Ning Baizura']"
RUKEN,"Ruken Yılmaz, born in 1990 in Istanbul, is a Kurdish singer and music teacher. She comes from a Kurdish family originally from Dih, Siirt, in Northern Kurdistan, who later moved to Istanbul. She started playing guitar and performing in her school band at the age of 12.

In 2008, Ruken joined the Music Teaching Department at Marmara University, and during this time, where she began performing music within the framework of MKM (Mesopotamia Cultural Center). <a href=""https://www.last.fm/music/RUKEN"">Read more on Last.fm</a>",616,3889,"['Rewşan', 'Tara Mamedova', 'Ciwan Haco', 'Koma Denge Azadi', 'Rojda']"
Flaka Krelani," <a href=""https://www.last.fm/music/Flaka+Krelani"">Read more on Last.fm</a>",169,1677,"['Teuta Kurti', 'Rovena Dilo', 'Xhesika Polo', 'Rezarta Smaja', 'Anjeza Shahini']"
Ajay Warriar," <a href=""https://www.last.fm/music/Ajay+Warriar"">Read more on Last.fm</a>",170,510,"['K. Yuvaraj', 'Vighnesh Ghanapaathi', 'L.N. Shastri', 'Anuradha Bhat', 'Rajesh Krishnan']"
Herman basudde," <a href=""https://www.last.fm/music/Herman+basudde"">Read more on Last.fm</a>",41,1187,"['Lord Fred Sebatta', 'Mesach semakula', 'Elly Wamala', 'John Blaq', 'David Lutalo']"
Yung Life,"Yung Life is: 

Elliott White 
Gabriel White
Judah White
Will Farner



http://soundcloud.com/yunglife/sets
http://yunglife.bandcamp.com/ <a href=""https://www.last.fm/music/Yung+Life"">Read more on Last.fm</a>",9926,69680,"['Pinemarten', 'Light Leak', 'Pepepiano', 'Selva Oscura', 'Yalls']"
Linda Yan," <a href=""https://www.last.fm/music/Linda+Yan"">Read more on Last.fm</a>",68,132,"['SATIYA', 'Jay Chan', 'Nikki Nikki', 'Meas Soksophea', 'VANNDA']"
Lee Mi Ja,"Lee Mi Ja / 이미자, born October 30, 1941 in Seoul, Korea, is a trot singer. <a href=""https://www.last.fm/music/Lee+Mi+Ja"">Read more on Last.fm</a>",2759,16802,"['뽕짝메들리', '이미자', 'JANG YOON-JEONG', 'Nam Jin', '김미화']"
Patti Kim," <a href=""https://www.last.fm/music/Patti+Kim"">Read more on Last.fm</a>",1081,5376,"['Na Hoon-A', '패티김', 'Shim Soo Bong', 'The Pearl Sisters', 'Jung Hoon Hee']"
Klapa Iskon," <a href=""https://www.last.fm/music/Klapa+Iskon"">Read more on Last.fm</a>",2436,25290,"['Klapa Kampanel', 'Klapa Sveti Juraj HRM', 'Klapa Cambi', 'Tomislav Bralić', 'Tedi Spalato']"
Norwegian Wood,"Norwegian Wood (노르웨이 숲) originally debuted as a duo on October 2, 2014 with 취한 밤에 (Feat. 효빈). In 2018-2019, Soyeon left, meaning that the duo split. Norwegian Wood, however, is still active as a solo producer and composer, collaborating with other singers. <a href=""https://www.last.fm/music/Norwegian+Wood"">Read more on Last.fm</a>",12413,111795,"['Saevom', 'Han All', 'Acourve', 'Vanilla Acoustic', ""Today's Hot Song""]"
Idiot Glee,"Idiot Glee is the name of one of two acts.
Idiot Glee is James Friley from Lexington, Kentucky.
http://idiotglee.com
http://idiotglee.bandcamp.com
http://www.facebook.com/idiotglee
http://www.twitter.com/idiot_glee

Idiot Glee was also a short-lived band in Norwich, UK in 1990. They released one song 'Buster's Monacle' on limited edition compact cassette with a live version of the same song called 'Buster's Spectacle'. <a href=""https://www.last.fm/music/Idiot+Glee"">Read more on Last.fm</a>",20632,158464,"['Levek', 'Oregon Bike Trails', 'Power Animal', 'Teen Inc.', 'Therapies Son']"
U Sung Eun," <a href=""https://www.last.fm/music/U+Sung+Eun"">Read more on Last.fm</a>",10627,74253,"['MinJae', 'Kim Yeonji', 'GB9', 'Han Dong Geun', 'Jung Yup']"
Song Hee-ran," <a href=""https://www.last.fm/music/Song+Hee-ran"">Read more on Last.fm</a>",1846,8154,"['deulrejang', 'sunwashere', 'Jo eunsae', 'n@di', 'Hoyeon Kim']"
Ronny Mosuse,"Ronny Mosuse (geboren te Antwerpen, 17 mei 1971) is een Vlaamse zanger, muzikant, songschrijver, muziekproducer en Bekende Vlaming. Ronny is de broer van Robert Mosuse (die overleed in april 2000), en heeft daarnaast nog 3 broers en een zus.

Samen met zijn broers Robert en Jean-Paul nam hij in 1988 deel aan Humo's Rock Rally met hun groep The B-Tunes. Ze eindigden derde, na Ze Noiz en The Romans. Ze brachten de single ""Stone cold woman"" uit in een productie van Wouter Van Belle. <a href=""https://www.last.fm/music/Ronny+Mosuse"">Read more on Last.fm</a>",3282,27005,"['Jan Leyers', 'Jan De Wilde', 'Johan Verminnen', 'Anton Walgrave', 'Hannelore Bedert']"
johan kim," <a href=""https://www.last.fm/music/johan+kim"">Read more on Last.fm</a>",8375,37934,"['Lim ChangJung', 'HOZIHO', 'Kim Yeon Woo', 'JANG DEOK CHEOL', 'Cho Jang Hyuck']"
Jaison Sequeira," <a href=""https://www.last.fm/music/Jaison+Sequeira"">Read more on Last.fm</a>",1,1,[]
Tedi Spalato,"Tedi Spalato is a Croatian singer-songwriter.

H has been performing at the musical festival in his home town of Split, Dalmatia, since the 1980s. 

Discography

    * ""Ponoćka"" (1999)
    * ""Dalmatinska pismo moja"" (1999)
    * ""Live in Lisinski"" (2000)
    * ""Kao da se vrime"" (2001)
    * ""Lipote gladan, ljubavi žedan"" (2005)
    * ""Kadenca"" (2009)

 <a href=""https://www.last.fm/music/Tedi+Spalato"">Read more on Last.fm</a>",3704,45001,"['Vinko Coce', 'Hari Rončević', 'Dalmatino', 'Klapa Maslina', 'Klapa Iskon']"
Prelude,"There are at least 5 bands with the name Prelude.

1) Prelude (UK-based rock) were a 4-piece from Maidstone, Kent, UK.  They are Mark Wells (vox), Joel Shah-Rao (lead), Ben Williams (bass) and Mark Thompson (drums).   In March 2007, they independently released their 'Cartoon Breakup' EP.  They broke up in 2008.

2) Another PRELUDE was a country-rock band with female vocals from the 70's that scored a hit with an acapella version of Neil Young's ""After The Goldrush"".  This outfit comprised of husband-and-wife Brian and Irene Hume and Ian Vardy. <a href=""https://www.last.fm/music/Prelude"">Read more on Last.fm</a>",27599,140830,"['The Bothy Band', 'Strawbs', 'スウェイ', 'Rare Bird', 'Lunarrr']"
Melih Kahveci," <a href=""https://www.last.fm/music/Melih+Kahveci"">Read more on Last.fm</a>",47,103,"['Nurgüzel Kestane', 'Ayfer Vardar', 'Mustafa Gökay Ferah', 'Tarık İhtiyar', 'Apolas Lermi']"
Abry," <a href=""https://www.last.fm/music/Abry"">Read more on Last.fm</a>",2243,16394,"['Soulights', 'Behindthemoon', 'Ihya', 'Kim Hyun Chul', 'ccola']"
Choi Jinhee," <a href=""https://www.last.fm/music/Choi+Jinhee"">Read more on Last.fm</a>",973,3170,"['유익종', 'Lee Mi Ja', 'Cho Yong Pil', 'Yeong Rok Jeon', '어니언스']"
Leonora Jakupi,"Leonora Jakupi (born on 3 March 1978 in Kosovo) is an ethnic Albanian singer who is one of the most popular commercial singers among Albanians in Kosovo, Albania, Macedonia and Montenegro.

Today Leonora lives in Kosovo's capital Pristina. She lost her father during the Kosovo war (1998–1999); he was killed by the Yugoslav security forces. Her repertoire includes a wide variety of material including old-style Albanian folk music and modern pop.[1] She is not married. <a href=""https://www.last.fm/music/Leonora+Jakupi"">Read more on Last.fm</a>",1184,9239,"['Orinda Huta', 'ADELINA ISMAILI', 'Nora Istrefi', 'Shyhrete Behluli', 'Edona Llalloshi']"
Tim Sameke," <a href=""https://www.last.fm/music/Tim+Sameke"">Read more on Last.fm</a>",279,1641,"['Roumadyval', 'Vamaley', 'Mexem', 'OK! Ryos', 'Fedyz']"
Chris Perry," <a href=""https://www.last.fm/music/Chris+Perry"">Read more on Last.fm</a>",301,1450,"['Gateway Atmosphere', 'Amartya Paul', 'Jeff Kinder', 'Float State', 'Goldenstar and Merric']"
SINAN VLLASALIU," <a href=""https://www.last.fm/music/SINAN+VLLASALIU"">Read more on Last.fm</a>",1993,34713,"['Sabri Fejzullahu', 'Teuta Selimi', 'Edona Llalloshi', 'Afrim Muciqi', 'Ilir Shaqiri']"
Kizzy,"Kizzy (키지) is a South-Korean k-indie and lo-fi singer. She debuted in 2019 with the mini album ""Temper"". She has been constantly releasing music and making covers on her instagram and youtube since then. <a href=""https://www.last.fm/music/Kizzy"">Read more on Last.fm</a>",9239,40739,"['Mainstreet', 'Blady', 'Kiara', 'KISSXS', 'SPICA.S']"
YOONWON," <a href=""https://www.last.fm/music/YOONWON"">Read more on Last.fm</a>",7338,40994,"['Jung Chang Yong', 'HOZIHO', 'Saevom', 'LEEWOO', '20 Years of Age']"
Әбдіжаппар Әлқожа," <a href=""https://www.last.fm/music/%D3%98%D0%B1%D0%B4%D1%96%D0%B6%D0%B0%D0%BF%D0%BF%D0%B0%D1%80+%D3%98%D0%BB%D2%9B%D0%BE%D0%B6%D0%B0"">Read more on Last.fm</a>",551,5042,"['Қуандық Рахым', 'Қайрат Нұртас', 'Нұрболат Абдуллин', 'Ернар Айдар', 'Кайрат Нуртас']"
Иса Алимуса," <a href=""https://www.last.fm/music/%D0%98%D1%81%D0%B0+%D0%90%D0%BB%D0%B8%D0%BC%D1%83%D1%81%D0%B0"">Read more on Last.fm</a>",30,308,"['Мәлік Жамбылұлы', 'Төреғали Төреәлі', 'Қуандық Рахым', 'Ғазизхан Шекербеков', 'Еркеш Хасен']"
