nombre,biografia,oyentes,reproducciones,similares
Shonan no kaze," <a href=""https://www.last.fm/music/Shonan+no+kaze"">Read more on Last.fm</a>",28102,405766,"['桐生一馬(黒田崇矢)', 'ケツメイシ', '真島吾朗(宇垣秀成)', 'Kyosuke Himuro', 'OxT']"
Evan Call," <a href=""https://www.last.fm/music/Evan+Call"">Read more on Last.fm</a>",120336,7582314,"['Kevin Penkin', 'Hiroyuki Sawano', 'Masaru Yokoyama', 'Kensuke Ushio', '横山克']"
Meryl Streep,"Nació en el seno de una familia acomodada. A los 8 años hizo su primera función y poco después decidió ser actriz. Estudió música, arte dramático y ópera en la Universidad de Yale. Tras finalizar sus estudios trabaja para el Theatre Repertory Company de Phoenix y pronto alcanza el éxito al ser nominada para el ""Tony Award"" y conseguir el ""Outer Circle Award"". Debuta en televisión con la serie Holocausto por la que fue premiada con el ""Emmy"" a la Mejor Actriz. <a href=""https://www.last.fm/music/Meryl+Streep"">Read more on Last.fm</a>",792563,11886652,"['Amanda Seyfried', 'Meryl Streep, Julie Walters & Christine Baranski', 'Pierce Brosnan', 'Pierce Brosnan & Meryl Streep', 'Amanda Seyfried, Ashley Lilley & Rachel McDowall']"
The Flight," <a href=""https://www.last.fm/music/The+Flight"">Read more on Last.fm</a>",83000,1801318,"['Joris de Man', 'Oleksa Lozowchuk', 'Sarah Schachner', 'Elitsa Alexandrova', 'Niels van der Leest']"
Mili," <a href=""https://www.last.fm/music/Mili"">Read more on Last.fm</a>",259494,25914237,"['lasah', 'Alice Schach and the Magic Orchestra', 'MYTH & ROID', '稲葉曇', 'Nakiso']"
Panos Mouzourakis," <a href=""https://www.last.fm/music/Panos+Mouzourakis"">Read more on Last.fm</a>",45966,253247,"['Maraveyas Ilegál', 'Giorgos Dimitriadis', 'Eleonora Zouganeli', 'Yorgos Rous', 'Mariza Rizou']"
Vegeta," <a href=""https://www.last.fm/music/Vegeta"">Read more on Last.fm</a>",11177,47892,"['Android Orchestra', 'PokéMixr92', 'Tito Cordone', 'ドラゴンボール超BGM', '94Stones']"
Willow Sage Hart," <a href=""https://www.last.fm/music/Willow+Sage+Hart"">Read more on Last.fm</a>",22781,70923,"['JD McCrary', 'Billy Eichner', 'Julianne Moore', 'Katherine McNamara', 'Melissa Benoist']"
The Rising Storm," <a href=""https://www.last.fm/music/The+Rising+Storm"">Read more on Last.fm</a>",130466,717797,"['The Electric Prunes', 'Habibi', 'The Count Five', 'The Seeds', 'Twin Peaks']"
Pentatonix,"Pentatonix es un grupo de música a-capella de cinco vocalistas: Kirstie Maldonado, Scott Hoying, Mitch Grassi, Kevin Olusola y Matt Sallee. Avi Kaplan fue anteriormente un miembro del grupo pero fue reemplazado por Sallee en 2017. Procedente de Arlington, Texas Estados Unidos, el grupo ganó la tercera temporada de The Sing-Off de la cadena NBC. Pentatonix ganó 200.000 dólares y un contrato de grabación con Sony.

Pentatonix comenzó con tres amigos. <a href=""https://www.last.fm/music/Pentatonix"">Read more on Last.fm</a>",1029832,23461094,"['Straight No Chaser', 'Home Free', 'VoicePlay', 'The Barden Bellas', 'Rockapella']"
藤田真由美," <a href=""https://www.last.fm/music/%E8%97%A4%E7%94%B0%E7%9C%9F%E7%94%B1%E7%BE%8E"">Read more on Last.fm</a>",85118,1800724,"['川村ゆみ', '平田志穂子', 'アトラスサウンドチーム', '小宮知子', '高橋あず美']"
Olly Alexander (Years & Years),"Oliver Alexander Thornton conocido como Olly Alexander, es un actor, cantante y compositor británico. Es el artista tras el proyecto musical Years & Years. <a href=""https://www.last.fm/music/Olly+Alexander+(Years+&+Years)"">Read more on Last.fm</a>",562632,7704838,"['Agnes', 'Years & Years', 'Silvester Belt', 'Mustii', 'Loreen']"
MAX,"MAX is a Japanese female vocal group. The name is an acronym for ""musical active experience"". The original members of MAX made their musical debut as members of the Super Monkey's along with lead vocalist Namie Amuro. They branched out on their own in 1995, becoming stars in their own right with selling several million albums and a string of consecutive top 20 singles from 1996 to 2000.

Since their debut MAX has sold over 10 million records making them one of the best selling acts in Japan. <a href=""https://www.last.fm/music/MAX"">Read more on Last.fm</a>",1158682,26919131,"['ØMI', '安室奈美恵', 'globe', 'Every Little Thing', '浜崎あゆみ']"
John Paesano," <a href=""https://www.last.fm/music/John+Paesano"">Read more on Last.fm</a>",178023,2911774,"['Nima Fakhrara', 'Daniel Pemberton', 'Henry Jackman', 'Michael Giacchino', 'Blake Neely']"
須田景凪," <a href=""https://www.last.fm/music/%E9%A0%88%E7%94%B0%E6%99%AF%E5%87%AA"">Read more on Last.fm</a>",215692,3295379,"['Tatsuya Kitani', '和ぬか', 'なとり', 'Yoh Kamiyama', 'syudou']"
Hiroshi Kitadani,"Hiroshi Kitadani nació el 24 de Agosto de 1968 y es un conocido artista en el mundo del Anison. Kitadani es muy conocido por los temas ""We are!"" de la serie One Piece, ""We are the heroes"" de la serie Daigunder y ""Madan Senki Ryukendo"" perteneciente a la serie sentai del mismo nombre. 

Hiroshi ha lanzado una extensa cantidad de singles, de los cuales la mayoría fue compilado en su único album R-New. Actualmente además de su carrera de solista, forma parte del grupo JAM Project y actua como músico de soporte en diversos temas de anime.  <a href=""https://www.last.fm/music/Hiroshi+Kitadani"">Read more on Last.fm</a>",99230,1611813,"['D-51', 'BOYSTYLE', 'The Babystars', '大槻真希', '5050']"
Queen Bee," <a href=""https://www.last.fm/music/Queen+Bee"">Read more on Last.fm</a>",195493,4127181,"['Tatsuya Kitani', 'Ryokuoushoku Shakai', 'KANA-BOON', 'BURNOUT SYNDROMES', 'Creepy Nuts']"
André De Shields," <a href=""https://www.last.fm/music/Andr%C3%A9+De+Shields"">Read more on Last.fm</a>",152741,4152763,"['Hadestown Original Broadway Company', 'Amber Gray', 'Eva Noblezada', 'Patrick Page', 'Christian Borle']"
Sumika," <a href=""https://www.last.fm/music/Sumika"">Read more on Last.fm</a>",182066,3478578,"['Mrs. GREEN APPLE', 'go!go!vanillas', 'back number', 'Ryokuoushoku Shakai', 'Official HIGE DANdism']"
Ludwig Göransson,"Ludwig Göransson (Linköping, 1 de septiembre de 1984)​ es un compositor, arreglista, músico y productor musical sueco. Su trabajo en bandas sonoras incluye Fruitvale Station, Creed y su continuación Creed II, Venom y la cinta Black Panther, por la que recibió un Premio Grammy por mejor banda sonora, un Premio Óscar en la misma categoría y una nominación a los Globos de Oro. Es reconocido además por su trabajo en las bandas sonoras de las series Community, Happy Endings, New Girl y The Mandalorian. <a href=""https://www.last.fm/music/Ludwig+G%C3%B6ransson"">Read more on Last.fm</a>",536217,14772924,"['Hans Zimmer', 'Hans Zimmer & James Newton Howard', 'Michael Giacchino', 'Daniel Pemberton', 'Nicholas Britell']"
Ali," <a href=""https://www.last.fm/music/Ali"">Read more on Last.fm</a>",486340,8288519,"['Eve', 'HOME MADE 家族', ""K'naan"", 'Lotus Juice', '2 Mello']"
coldrain,"Coldrain es un grupo de rock japonés formada en Nagoya el año 2007 por cinco integrantes: Vo/Masato, Ba/RxYxO, Gt/Y.K.C, Dr/Katsuma y Gt/Sugi. Este grupo en sus raíces fusiona distintos géneros musciales como Punk, Metal y Hardcore, que despues fue fusionado con ligeros toques de pop potencial para la puesta en escena, aprovechando al máximo la audiencia. <a href=""https://www.last.fm/music/coldrain"">Read more on Last.fm</a>",216536,9734699,"['Survive Said The Prophet', 'MY FIRST STORY', 'Crossfaith', 'Sim', 'NOISEMAKER']"
中島美嘉,"Desde que era una niña Mika soñaba con ser una famosa cantante y ser una estrella. En su adolescencia decidió no asistir a la educación superior, para estar concentrada al 100% en hacer su sueño realidad de una carrera musical. El primer demo que envió a cierta compañía disquera fue el que le dio su primera oportunidad para conseguir su objetivo para el estrellato: fue la elegida entre unas 2000 jóvenes para protagonizar a la heroína en <a href=""https://www.last.fm/music/%E4%B8%AD%E5%B3%B6%E7%BE%8E%E5%98%89"">Read more on Last.fm</a>",96631,5765464,"['伊藤由奈', 'MISIA', '絢香', '大塚愛', '浜崎あゆみ']"
Taron Egerton,"Taron David Egerton​ (n. 10 de noviembre de 1989) es un actor británico.
Es más conocido por sus papeles en la serie de televisión británica The Smoke y la película de 2014 Kingsman: The Secret Service y su secuela, Kingsman: The Golden Circle, Legend, Eddie the Eagle y Robin Hood. También le puso voz a Johnny en la película musical animada de 2016 Sing. Además de dar vida a Elton John en la película Rocket Man. <a href=""https://www.last.fm/music/Taron+Egerton"">Read more on Last.fm</a>",341725,5496918,"['Lily James', 'Anna Kendrick', 'Amanda Seyfried', 'Meryl Streep', 'Hugh Jackman & Zac Efron']"
Alan Silvestri,"Alan Silvestri (Nueva York,Estados Unidos, 26 de marzo de 1950) es un conocido compositor musical de bandas sonoras. Silvestri es conocido por sus numerosas colaboraciones con Robert Zemeckis, especialmente ""Forrest Gump"" (1994), la trilogía de ""Regreso al futuro"" (1985, 1989, 1990), ""Contact ""(1997) o ""Polar Express"" (2004). Ha recibido numerosas nominaciones a los Oscar y dos a los Grammy.

Aunque neoyorkino de nacimiento, Silvestri se crió en Teaneck (Nueva Jersey). <a href=""https://www.last.fm/music/Alan+Silvestri"">Read more on Last.fm</a>",815609,13242149,"['James Horner', 'Jerry Goldsmith', 'Henry Jackman', 'John Williams', 'Michael Giacchino']"
Cö shu Nie," <a href=""https://www.last.fm/music/C%C3%B6+shu+Nie"">Read more on Last.fm</a>",326644,8441336,"['TK from 凛として時雨', 'Polkadot Stingray', 'ZUTOMAYO', 'österreich', 'Ling Tosite Sigure']"
Andrew Prahlow," <a href=""https://www.last.fm/music/Andrew+Prahlow"">Read more on Last.fm</a>",187461,7593211,"['Chris Remo', 'Lena Raine', 'Berlinist', 'Ben Prunty', 'Austin Wintory']"
中野家の五つ子," <a href=""https://www.last.fm/music/%E4%B8%AD%E9%87%8E%E5%AE%B6%E3%81%AE%E4%BA%94%E3%81%A4%E5%AD%90"">Read more on Last.fm</a>",22629,368393,"['伊藤美来', 'Halca', '大橋彩香', '春奈るな', 'DIALOGUE+']"
高橋洋子,"Takahashi Yoko (高橋洋子, nació el 28 de Agosto de 1966) y es una cantante Japonesa, conocida principalmente por su canción ""残酷な天使のテーゼ"" (Zankoku na tenshi no tēze), el opening del anime Neon Genesis Evangelion. También ha interpretado endings, una versión de ""FLY ME TO THE MOON"" y ""魂のルフラン"" (Tamashii no Rufuran), ending para Evangelion: Death and Rebirth. Recientemente interpretó ""Metamorphose"" el opening para el Aniversario número 20 del estudio Gainax, Kono Minikuku mo Utsukushii Sekai. <a href=""https://www.last.fm/music/%E9%AB%98%E6%A9%8B%E6%B4%8B%E5%AD%90"">Read more on Last.fm</a>",59642,1117824,"['林原めぐみ', '鷺巣詩郎', 'Arianne', 'Lia', '川田まみ']"
Casey Edwards," <a href=""https://www.last.fm/music/Casey+Edwards"">Read more on Last.fm</a>",249505,6150721,"['柴田徹也', 'Jeff Rona', 'Yoshiya Terayama', 'Capcom Sound Team', 'Jason Miller']"
大森靖子," <a href=""https://www.last.fm/music/%E5%A4%A7%E6%A3%AE%E9%9D%96%E5%AD%90"">Read more on Last.fm</a>",14274,1758081,"['ZOC', '神聖かまってちゃん', '相対性理論', 'パスピエ', '銀杏BOYZ']"
Mrs. GREEN APPLE," <a href=""https://www.last.fm/music/Mrs.+GREEN+APPLE"">Read more on Last.fm</a>",382162,10278953,"['back number', 'Official髭男dism', '優里', 'tuki.', 'Novelbright']"
Agrupación Musical Nuestro Padre Jesús de la Redención de Sevilla," <a href=""https://www.last.fm/music/Agrupaci%C3%B3n+Musical+Nuestro+Padre+Jes%C3%BAs+de+la+Redenci%C3%B3n+de+Sevilla"">Read more on Last.fm</a>",773,14705,"['Agrupación Musical Ntra. Sra. de la Encarnación', 'Virgen de los Reyes', 'Las Cigarreras', 'Agrupación Musical Ntra. Sra. De Los Reyes', 'Agrupación Musical Ntra. Sra. de la Estrella de Dos Hermanas']"
美波," <a href=""https://www.last.fm/music/%E7%BE%8E%E6%B3%A2"">Read more on Last.fm</a>",335730,8344223,"['ヨルシカ', '結束バンド', 'Sayuri', 'ZUTOMAYO', 'Aimer']"
Carrie Hope Fletcher," <a href=""https://www.last.fm/music/Carrie+Hope+Fletcher"">Read more on Last.fm</a>",106994,1827459,"['Jamie Muscato', 'Taylor Louderman', 'Grey Henson', 'Sophia Anne Caruso', 'Emily Rohm']"
Alex Brightman," <a href=""https://www.last.fm/music/Alex+Brightman"">Read more on Last.fm</a>",264876,4441948,"['Leslie Kritzer', 'Sophia Anne Caruso', 'Erika Henningsen', 'Daphne Rubin-Vega', 'Christian Borle']"
FictionJunction,"FictionJunction es un proyecto que comenzó en 2003 y a veces el pseudonimo de la compositora japonesa Yuki Kajiura. De momento dicho proyecto tiene como vocalistas principales a varias mujeres y a ella misma como pianista o al teclado electronico. Generalmente el pseudonimo lo utiliza para caciones en japonés y en ninguna ocasión se ha visto el nombre en bandas sonoras.

    * FictionJunction JVC's Official Website:  http://www.jvcmusic.co.jp/fj
    * Official website: http://www.fictionjunction.com/fjcom/fictionjunction.html
  
 <a href=""https://www.last.fm/music/FictionJunction"">Read more on Last.fm</a>",83070,2069355,"['Kalafina', 'FictionJunction YUUKA', 'See-Saw', '梶浦由記', 'KOKIA']"
Sophia Anne Caruso," <a href=""https://www.last.fm/music/Sophia+Anne+Caruso"">Read more on Last.fm</a>",145743,2294625,"['Leslie Kritzer', 'Alex Brightman', 'Grey Henson', 'Taylor Louderman', 'Barrett Wilbert Weed']"
Tricker," <a href=""https://www.last.fm/music/Tricker"">Read more on Last.fm</a>",23722,369460,"['Mon Laferte', 'Inheres', 'Nattalia Sarria', 'Los Bunkers', 'Glup!']"
T'Shan Williams," <a href=""https://www.last.fm/music/T%27Shan+Williams"">Read more on Last.fm</a>",40566,382698,"['Sophie Isaacs', 'Alice Lee', 'Tiffany Tatreau', 'Scott Redmond', 'Kate Shindle']"
Jamie Muscato," <a href=""https://www.last.fm/music/Jamie+Muscato"">Read more on Last.fm</a>",120302,1500912,"['Carrie Hope Fletcher', 'Taylor Louderman', 'Eva Noblezada', 'Jonathan Bailey', 'Lily James']"
Masayuki Suzuki," <a href=""https://www.last.fm/music/Masayuki+Suzuki"">Read more on Last.fm</a>",202480,3451423,"['MOB CHOIR', 'OxT', 'Halca', 'Ryokuoushoku Shakai', 'Masayoshi Oishi']"
Vishal-Shekhar," <a href=""https://www.last.fm/music/Vishal-Shekhar"">Read more on Last.fm</a>",198140,8508573,"['Pritam', 'Shankar-Ehsaan-Loy', 'Salim–Sulaiman', 'Sachin-Jigar', 'Sohail Sen']"
Roomtone," <a href=""https://www.last.fm/music/Roomtone"">Read more on Last.fm</a>",35896,347751,"['Friedrich Habetler', 'Gabriele Motta', 'Abel III', 'Pharozen', 'Juora']"
Steven Universe," <a href=""https://www.last.fm/music/Steven+Universe"">Read more on Last.fm</a>",891758,49815692,"['Adventure Time', 'Zach Callison', 'aivi & surasshu', 'Rebecca Sugar', 'OR3O']"
John Powell,"John Powell (Inglaterra, 18 de septiembre de 1963) es un compositor británico de música cinematográfica.
De niño, Powell originalmente se formaba para violinista, antes de estudiar en el Trinity College of Music de Londres. Más tarde se aventuró en el jazz y la música rock, tocando en la banda de soul The Fabulistics. Después de abandonar la universidad, compuso música para comerciales, lo que lo llevó a trabajar como asistente del compositor Patrick Doyle en varias producciones cinematográficas <a href=""https://www.last.fm/music/John+Powell"">Read more on Last.fm</a>",766742,20126221,"['James Horner', 'James Newton Howard', 'Michael Giacchino', 'John Williams', 'Alan Silvestri']"
Ludvig Forssell," <a href=""https://www.last.fm/music/Ludvig+Forssell"">Read more on Last.fm</a>",114454,2330732,"['Donna Burke', 'Joel Corelitz', '日比野則彦', 'Harry Gregson-Williams', 'Jamie Christopherson']"
Eva Noblezada," <a href=""https://www.last.fm/music/Eva+Noblezada"">Read more on Last.fm</a>",112185,2546463,"['Amber Gray', 'Patrick Page', 'André De Shields', 'Hadestown Original Broadway Company', 'Jeremy Jordan']"
ASCA," <a href=""https://www.last.fm/music/ASCA"">Read more on Last.fm</a>",78770,1702789,"['Eir Aoi', 'ReoNa', '鈴木このみ', 'GARNiDELiA', 'ZAQ']"
Miyu Tomita," <a href=""https://www.last.fm/music/Miyu+Tomita"">Read more on Last.fm</a>",25812,206664,"['sweet ARMS', 'Mayu Maeshima', '鈴木このみ', 'Maon Kurosaki', 'Kaori Ishihara']"
Hildur Guðnadóttir,"Hildur Ingveldardóttir Guðnadóttir ( Reykjavik,4 de septiembre de 1982) es una compositora y chelista islandesa. En 2020 ganó un Globo de Oro, un Premio de la Crítica Cinematográfica, un Premio BAFTA y un Premio Oscar por Mejor Banda Sonora en la película Joker.
Hildur Guðnadóttir nació en 1982 à Reykjavik y creció en Hafnarfjörður. Proviene de una familia de músicos. Su padre Guðni Franzson, es compositor, clarinetista y profesor de música y su madre Ingveldur Guðrún Ólafsdóttir, es cantante de ópera. <a href=""https://www.last.fm/music/Hildur+Gu%C3%B0nad%C3%B3ttir"">Read more on Last.fm</a>",255223,4017950,"['Jóhann Jóhannsson', 'Julia Kent', 'Max Richter', 'Cliff Martinez', 'Steven Price']"
the peggies," <a href=""https://www.last.fm/music/the+peggies"">Read more on Last.fm</a>",202858,5369497,"['Halca', 'kessoku band', 'KANA-BOON', 'ZUTOMAYO', 'Sayuri']"
Madkid," <a href=""https://www.last.fm/music/Madkid"">Read more on Last.fm</a>",73755,1165962,"['OxT', '鈴木このみ', 'MindaRyn', '前島麻由', 'MYTH & ROID']"
Hadestown Original Broadway Company," <a href=""https://www.last.fm/music/Hadestown+Original+Broadway+Company"">Read more on Last.fm</a>",82170,1423995,"['André De Shields', 'Amber Gray', 'Eva Noblezada', 'Kimberly Marable, Khaila Wilcoxon, Ahmad Simmons, Afra Hines, T. Oliver Reid, John Krause, André De Shields, Reeve Carney, Jewelle Blackman, Yvette Gonzalez-Nacer, Kay Trinidad, Timothy Hughes, Malcolm Armwood & Jessie Shelton', 'André De Shields, Hadestown Original Broadway Company']"
Jewelle Blackman," <a href=""https://www.last.fm/music/Jewelle+Blackman"">Read more on Last.fm</a>",59595,888753,"['Samantha Pauly', 'Noah J. Ricketts', 'Next To Normal 2024 Original London Company', 'Sara Chase', 'Carrie Compere']"
King Gnu," <a href=""https://www.last.fm/music/King+Gnu"">Read more on Last.fm</a>",446808,15783204,"['米津玄師', 'Vaundy', 'Official HIGE DANdism', 'Mrs. GREEN APPLE', 'キタニタツヤ']"
Aaron Tveit," <a href=""https://www.last.fm/music/Aaron+Tveit"">Read more on Last.fm</a>",201699,3116056,"['Alice Ripley', ""Brian D'Arcy James"", 'Patrick Page', 'Alan Cumming', 'Hadestown Original Broadway Company']"
Ricky Rojas," <a href=""https://www.last.fm/music/Ricky+Rojas"">Read more on Last.fm</a>",16249,150862,"['Danny Burstein', 'Tam Mutu', 'Sahr Ngaujah', 'Karen Olivo', 'Cassidy Janson']"
Paweł Błaszczak," <a href=""https://www.last.fm/music/Pawe%C5%82+B%C5%82aszczak"">Read more on Last.fm</a>",11125,424784,"['Adam Skorupa', 'Krzysztof Wierzynkiewicz', 'Adam Skorupa & Krzysztof Wierzynkiewicz', 'Marcin Przybyłowicz', 'Olivier Deriviere']"
Amber Gray," <a href=""https://www.last.fm/music/Amber+Gray"">Read more on Last.fm</a>",78535,1296079,"['Patrick Page', 'Eva Noblezada', 'André De Shields', 'Hadestown Original Broadway Company', 'Original Cast of Hadestown']"
Danny Burstein," <a href=""https://www.last.fm/music/Danny+Burstein"">Read more on Last.fm</a>",30917,399423,"['Tam Mutu', 'Sahr Ngaujah', 'Ricky Rojas', 'Karen Olivo', 'Adam Kantor']"
10cm," <a href=""https://www.last.fm/music/10cm"">Read more on Last.fm</a>",265403,5873538,"['Sam Kim', 'Kim Kyung Hee', 'Jung Seung Hwan', 'Lee Mujin', 'DAVICHI']"
Empire,"Todo comenzó el año 2001 con el primer álbum titulado ""Hypnotica"".  Comenzaron a grabar con músicos  de la talla de Rolf Munkes (Majesty), Lance King (Ex Balance of Power), Mark Boals (Ex Malmsteen), Neil Murray (Ex Whitesnake), Don Airey (Deep Purple) and Anders Johansson (Hammerfall). Impresionado tanto por el resultado debido a las fantásticas cooperaciones  de los músicos ya mensionados, era pronto claro que esto no sería un acontecimiento del momento, sacando hasta ahora 4 producciones geniales. <a href=""https://www.last.fm/music/Empire"">Read more on Last.fm</a>",68910,1102081,"['BAND-MAID', 'Tony Martin', 'Krokus', 'Pretty Maids', 'Quiet Riot']"
Reeve Carney," <a href=""https://www.last.fm/music/Reeve+Carney"">Read more on Last.fm</a>",136928,3292714,"['Patrick Page', 'Amber Gray', 'Eva Noblezada', 'André De Shields', 'Hozier']"
Marc Streitenfeld,"Marc Streitenfeld nacio en Munich (Alemania), se traslado a Los Ángeles a la edad de 19 años. Destaco como primer ayudante de Hanz Zimmer en varios de sus proyectos, compatibilizandolo como editor musical en otras producciones.
Sus trabajos como compositor por ahora sólo son para Ridley Scoot diretor de Red de Mentiras, Un Buen Año, American Gangters y Robin Hood. <a href=""https://www.last.fm/music/Marc+Streitenfeld"">Read more on Last.fm</a>",234453,3228547,"['Jed Kurzel', 'William Ross', 'Steven Price', 'Harry Gregson-Williams', 'Fernando Velázquez']"
Clinton Shorter," <a href=""https://www.last.fm/music/Clinton+Shorter"">Read more on Last.fm</a>",113230,1952797,"['Reynard Seidel', 'Joel Nielsen', 'Mychael Danna', 'Ryan Taubert', 'cxrgi']"
Arijit Singh," <a href=""https://www.last.fm/music/Arijit+Singh"">Read more on Last.fm</a>",189077,9696122,"['Vishal Mishra', 'Atif Aslam', 'Ankit Tiwari', 'Pritam', 'Mithoon']"
Steven Price,"La pasión de Steven por la música comenzó a temprana edad: un guitarrista de la edad de cinco años, que llegó a alcanzar un primer grado en la clase de música de Emmanuel College en Cambridge. Después de graduarse, se fue a trabajar en Londres en el estudio de Gang of Four con el guitarrista/productor Andy Gill, para quien sería programador, contribuir en arreglos de cuerda, y realizar álbumes junto con artistas como Michael Hutchence y Bono. <a href=""https://www.last.fm/music/Steven+Price"">Read more on Last.fm</a>",191805,2719726,"['Harry Gregson-Williams', 'James Newton Howard', 'Marc Streitenfeld', 'Hans Zimmer', 'Steve Jablonsky']"
Ivo Pattiera," <a href=""https://www.last.fm/music/Ivo+Pattiera"">Read more on Last.fm</a>",448,2171,"['Klapa Maslina', 'Klapa Šibenik', 'Tomislav Ivčić', 'Đani Maršan', 'Nenad Kero']"
krunoslav kićo slabinac," <a href=""https://www.last.fm/music/krunoslav+ki%C4%87o+slabinac"">Read more on Last.fm</a>",1008,8476,"['Zlatni Dukati', 'Gazde', 'Slavonske Lole', 'Najbolji Hrvatski Tamburaši', 'Zlatko Pejaković']"
Группа 101," <a href=""https://www.last.fm/music/%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0+101"">Read more on Last.fm</a>",496,5360,"[""Rin'Go"", 'Батыр', 'Kazybek Kuraiysh', 'Orda', 'Орда']"
Tereza Kesovija," <a href=""https://www.last.fm/music/Tereza+Kesovija"">Read more on Last.fm</a>",4735,77489,"['Meri Cetinic', 'Jasna Zlokic', 'Gabi Novak', 'Vinko Coce', 'Mladen Grdović']"
Badal Paul," <a href=""https://www.last.fm/music/Badal+Paul"">Read more on Last.fm</a>",6,24,[]
Urbanus," <a href=""https://www.last.fm/music/Urbanus"">Read more on Last.fm</a>",28601,472659,"['Flip Kowlier', 'Clouseau', 'De Kreuners', 'Raymond van het Groenewoud', 'De Mens']"
Prajoth D'sa," <a href=""https://www.last.fm/music/Prajoth+D%27sa"">Read more on Last.fm</a>",30,112,"['Brosinthemix', 'Henry T. D Souza', 'The 7 Notes Band', 'Gonzaga Coutinho', 'Alison Gonsalves']"
Đani Maršan," <a href=""https://www.last.fm/music/%C4%90ani+Mar%C5%A1an"">Read more on Last.fm</a>",1946,19463,"['Tomislav Ivčić', 'Vinko Coce', 'Mladen Grdović', 'Mišo Kovač', 'Milo Hrnić']"
HARI RONČEVIĆ," <a href=""https://www.last.fm/music/HARI+RON%C4%8CEVI%C4%86"">Read more on Last.fm</a>",1767,26330,[]
Stan Van Samang," <a href=""https://www.last.fm/music/Stan+Van+Samang"">Read more on Last.fm</a>",13158,145127,"['Wim Soutaer', 'Gene Thomas', ""Mama's Jasje"", 'Slongs Dievanongs', 'Paul Severs']"
Datuk Ahmad Jais," <a href=""https://www.last.fm/music/Datuk+Ahmad+Jais"">Read more on Last.fm</a>",2861,17760,"['Datuk Sharifah Aini', ""Dato' DJ Dave"", 'Nyanyian Ramai', 'Sanisah Huri', 'Rahimah Rahim']"
Klapa Maslina," <a href=""https://www.last.fm/music/Klapa+Maslina"">Read more on Last.fm</a>",3966,35924,"['Vinko Coce', 'Klapa Intrade', 'Tomislav Bralić', 'Klapa Kampanel', 'Mladen Grdović']"
Lalitya Munshaw," <a href=""https://www.last.fm/music/Lalitya+Munshaw"">Read more on Last.fm</a>",3202,20731,"['Prem Prakash Dubey', 'Susmirata Dawalkar', 'Anjali Jain', 'Vandana Bhardwaj', 'Satish Dehra']"
Sarah Ndagire," <a href=""https://www.last.fm/music/Sarah+Ndagire"">Read more on Last.fm</a>",215,863,"['Ndere Dance Troupe', 'Bernard Kabanda', 'Afrigo Band', 'Kawesa', 'Samite']"
Jay Jay," <a href=""https://www.last.fm/music/Jay+Jay"">Read more on Last.fm</a>",7118,85993,"['Dave Darell Feat. Hardy Hard', 'Mellow Trax Feat. Lyck', 'Alan Master T', 'Xamayca Allstars', 'Kid Cudi vs Crookers']"
Айкын," <a href=""https://www.last.fm/music/%D0%90%D0%B9%D0%BA%D1%8B%D0%BD"">Read more on Last.fm</a>",982,9459,"['Айкын Толепберген', 'Кайрат Нуртас', 'Орда', 'Mysterions', 'Арнау']"
Stimela," <a href=""https://www.last.fm/music/Stimela"">Read more on Last.fm</a>",6807,37352,"['Caiphus Semenya', 'Jonas Gwangwa', 'Phuzekhemisi', 'Mbongeni Ngema', 'Moses Khumalo']"
Валерия," <a href=""https://www.last.fm/music/%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D1%8F"">Read more on Last.fm</a>",57841,788268,"['Алсу', 'Кристина Орбакайте', 'ВИА Гра', 'Ані Лорак', 'Полина Гагарина']"
KLAPA PUNTAMIKA," <a href=""https://www.last.fm/music/KLAPA+PUNTAMIKA"">Read more on Last.fm</a>",84,436,"['Tomislav Bralić', 'Mladen Grdović', 'Tedi Spalato', 'Vinko Coce', 'Dalmatino']"
Azad Amedê," <a href=""https://www.last.fm/music/Azad+Amed%C3%AA"">Read more on Last.fm</a>",122,737,"['Aram Serhad', 'Koma Rozerin', 'Burhan Toprak', 'ALI KAYIR', 'Rojda']"
Raj Negi," <a href=""https://www.last.fm/music/Raj+Negi"">Read more on Last.fm</a>",3,11,[]
Cho Yong Pil," <a href=""https://www.last.fm/music/Cho+Yong+Pil"">Read more on Last.fm</a>",11894,101782,"['Kim HyunShik', 'Deul Guk Hwa', '강수지', '이승환', 'Yoo Jae-Ha']"
Krunoslav-Kićo Slabinac," <a href=""https://www.last.fm/music/Krunoslav-Ki%C4%87o+Slabinac"">Read more on Last.fm</a>",3142,30480,"['SLAVONSKI DUKATI', 'Mladen Grdović', 'Srebrna Krila', 'Nenad Ninčevič', 'Rišpet']"
Aidar BMM," <a href=""https://www.last.fm/music/Aidar+BMM"">Read more on Last.fm</a>",495,2392,"['DE LACURE', 'Baller', 'Кисло-сладкий', 'Irina Kairatovna', 'Son Pascal']"
Jabu Khanyile," <a href=""https://www.last.fm/music/Jabu+Khanyile"">Read more on Last.fm</a>",2191,10488,"['Caiphus Semenya', 'Bambata', 'Spokes Mashiyane', 'Boom Shaka', 'Spikiri']"
