artist_name,biography,listeners,playcount,similar_artist
Basil Poledouris,"Basil Konstantine Poledouris (August 21, 1945 – November 8, 2006) was a Greek-American composer, conductor, and orchestrator of film and television scores, best known for his long-running collaborations with directors John Milius and Paul Verhoeven. Among his works are scores for the films Conan the Barbarian (1982), Red Dawn (1984), Iron Eagle (1986), RoboCop (1987), The Hunt for Red October (1990), Free Willy (1993), and Starship Troopers (1997). https://www.last.fm/music/Basil+Poledouris",191737,4166389,Jerry Goldsmith
Agrupacion Musical Nuestro Padre Jesús Despojado de Jaen,https://www.last.fm/music/Agrupacion+Musical+Nuestro+Padre+Jes%C3%BAs+Despojado+de+Jaen,346,4889,Agrupación Musical Lágrimas de Dolores
Roque Baños,"Roque Baños López (born 1 May, 1968) is a Spanish music composer. Baños graduated from Boston's Berklee College of Music in 1995 and has since scored both Spanish and English-language films. He has received numerous awards for his compositional work, including the Spanish Goya Award for Best Original Score in both 2008 and 2009.

Born in Jumilla, Baños has been involved in music his whole life, his father being a saxophonist, and he himself completed a basic saxophone degree at the Upper Music Conservatory of Murcia. https://www.last.fm/music/Roque+Ba%C3%B1os",78336,497355,James Newton Howard
Film Symphony Orchestra,https://www.last.fm/music/Film+Symphony+Orchestra,4613,40938,Basil Poledouris
BRADIO,"BRADIO (ブラディオ?) is a Japanese indie rock band. Their name stands for ""Break the Rule And Do Image On"" and means that they will break the rules of everyday life, and while having a wonderful image all around, they will make a new good place. The members call their fans ""Funky Party People"" (FPP).

In 2010, The Movie Archives's Takaaki Shingyoji and Yuki Tanabe formed BRADIO with Soichi Ohyama (ex-GOLD END), Ryosuke Sakai (ex-GOLD END), and Takahiro Kitazawa (ex-Awesome Dude). https://www.last.fm/music/BRADIO",168558,3238455,Hello Sleepwalkers
Bear McCreary,"Bear McCreary (born February 17, 1979) is an American composer.

McCreary has been nominated for a Primetime Emmy Award for Outstanding Music Composition for a Series for his work on season one of Outlander and won one Emmy for Outstanding Original Main Title Theme Music for Da Vinci's Demons. He is also a two-time winner of both the British Academy Games Award for Music and D.I.C.E. Award for Outstanding Achievement in Original Music Composition for his work on God of War and God of War Ragnarök. https://www.last.fm/music/Bear+McCreary",536935,21106478,Richard Gibbs
Sho Oosawa,https://www.last.fm/music/Sho+Oosawa,13116,83316,Takeshi Tsuruno
TK from 凛として時雨,"TK is Toru Kitajima, a singer/songwriter and guitarist from Saitama, Japan. Born December 23, 1982, he is the frontman of the indie rock/post-hardcore band 凛として時雨 (Ling tosite sigure). He began this solo project with the release of a limited edition DVD titled film A moment on April 27, 2011. Now out of print, it was packaged with a photo book/diary and a DVD with the songs ""white silence"" and ""film A moment."" These tracks were reworked and released on TK's full-length album, flowering, on June 27, 2012. https://www.last.fm/music/TK+from+%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8",42599,2301015,Ling Tosite Sigure
SIE Sound Team,"Sony Interactive Entertainment (SIE) is an American–Japanese video game and digital entertainment company that is a wholly owned subsidiary of Japanese conglomerate Sony Corporation. SIE includes two companies, one based in America and the other based in Japan. Sony Interactive Entertainment LLC (SIE LLC), based in San Mateo, California, United States, was founded in April 2016 (originally founded in May 1995 as Sony Computer Entertainment America, Inc. https://www.last.fm/music/SIE+Sound+Team",185923,4596117,Yuka Kitamura
Percival Schuttenbach,"PERCIVAL SCHUTTENBACH, formed in Lubin, Poland in 1999, is a musical group which includes several projects. Projects vary mostly in instruments and repertoire.

Projects:
Percival Schuttenbach:
Founded in 1999 in Poland, play folk-metal music – a mix of Slavic culture and strong, heavy sounds. The main members of the band are charismatic two leaders: the cellist and singer Katarzyna Bromirska and the guitarist Mikołaj Rybacki, who – together with the rest of the band – create amazing, energetic shows. https://www.last.fm/music/Percival+Schuttenbach",162387,3618510,Żywiołak
Inon Zur,"Inon Zur (born July 4, 1965) is an Israeli American award-winning music composer. Originally writing for movies and television, he later moved into composing for video games. He has been described as being ""internationally recognized as one of the A-list orchestral composers in the video games industry"". During his career to date, Zur has composed the music to over 40 video games, 15 television shows, and 10 movies, as well as many movie trailers. https://www.last.fm/music/Inon+Zur",286141,7314888,Brad Derrick
James Newton Howard,"James Newton Howard (born June 9, 1951) is an American composer, conductor, and music producer. He has scored more than 100 films and has received a Grammy Award, an Emmy Award, and nine Academy Award nominations.

Howard began studying music at a young age and later attended the Music Academy of the West in Santa Barbara, California, before majoring in piano performance at the University of Southern California. After leaving college, he performed as a keyboardist with Elton John and Toto during the late 1970s and early 1980s. https://www.last.fm/music/James+Newton+Howard",1040981,21206222,James Horner
Harry Gregson-Williams,"Harry Gregson-Williams (born 13 December 1961) is an English composer, orchestrator, conductor, and music producer. He has regularly written for video games, television and films, such as the Metal Gear series, Spy Game, Phone Booth, Man on Fire, The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, Déjà Vu, X-Men Origins: Wolverine, The Martian, and the Shrek franchise. He is the older brother of composer Rupert Gregson-Williams. 

Gregson-Williams won a musical scholarship to St John's College School https://www.last.fm/music/Harry+Gregson-Williams",757872,16286735,日比野則彦
Alan Silvestri,"Alan Anthony Silvestri (born March 26, 1950) is an American composer and conductor who works primarily in film and television. He is best known for his frequent collaboration with director Robert Zemeckis, including composing major hit films such as the Back to the Future trilogy and Forrest Gump, as well as the superhero films Captain America: The First Avenger and Marvel's The Avengers.

Silvestri grew up in Teaneck, New Jersey and attended Teaneck High School. He went to Berklee College of Music for 2 years and is of Italian descent. https://www.last.fm/music/Alan+Silvestri",837524,13542497,James Horner
GENERATIONS from EXILE TRIBE,"GENERATIONS from EXILE TRIBE is a Japanese pop male dance & vocal group signed to rhythm zone label and LDH,Inc. agency. All members attended EXPG dance & vocal school prior their debut. Major debut on November 21/2012 with their first single “BRAVE IT OUT”. GENERATIONS from EXILE TRIBE  belongs to LDH, the same company as EXILE. Member of EXILE, Hiro, produced. Group changed their name in Jan 2013 from GENERATIONS to GENERATIONS from EXILE TRIBE. https://www.last.fm/music/GENERATIONS+from+EXILE+TRIBE",57963,1113466,THE RAMPAGE from EXILE TRIBE
Peter Gregson,"Born in Edinburgh in 1987, Peter Gregson is a cellist and pioneer of contemporary music. 

Peter’s debut album, Terminal, was released in 2010, followed by his Cello Multitracks, consisting of compositions by Gabriel Prokofiev, released in 2012 on Prokofiev’s Nonclassical label. Lights in the Sky, his second studio album, composed for cello, piano, and analogue synthesisers, was released at Imogen Heap's ‘Reverb Festival' in August 2014. Peter is featured soloist on Michael Price's debut album for Erased Tapes https://www.last.fm/music/Peter+Gregson",156132,1216700,Sophie Hutchings
Aqua Timez,"The band formed in 2000 after two of the original members met on the internet and discovered that they attended the same university. At their formation with all their current members in 2003, the band's name was Aqua Times, the correct spelling of their current name. No major releases came from the band during this period. The band renamed themselves to Aqua Timez in 2005. Their first release under this name was a mini-album which charted well on Oricon. https://www.last.fm/music/Aqua+Timez",176816,6123847,SPYAIR
Big Giant Circles,"Big Giant Circles is an alias for Jimmy Hinson, a composer based out of Dallas, TX. He possesses a strong affinity for video game music and is an active staff member of OverClocked ReMix (ocremix.org), a fan community of unofficial video game music remixes. Because of his involvement with OCR he was asked to arrange Guile’s theme for Capcom’s digital release of Super Street Fighter 2 Turbo, HD Remix, released in 2008. More recently, he is credited as a co-composer of the music in Bioware’s Blockbuster title Mass Effect 2 https://www.last.fm/music/Big+Giant+Circles",109449,2005988,Kubbi
Lisa,"There are at least eight known artists with the name ""Lisa"": two are from Japan, one from Thailand who based in South Korea, one from France, two from Holland, one from USA, and one from Italy. 

1) Risa Oribe (織部里沙 Oribe Risa, born June 24, 1987), better known by her stage name LiSA  is a Japanese singer signed to Aniplex under Sony Music Artists. Her stage name is an acronym for 'Love is Same All', a band she formed in 2008. She is known https://www.last.fm/music/Lisa",1896247,123835793,Jennie
Ramin Djawadi,"Ramin Djawadi (born 19 July 1974) is a German film score composer, conductor, and record producer. He is known for his scores for the HBO series Game of Thrones, for which he was nominated for Grammy Awards in 2018 and 2020. He is also the composer for the HBO Game of Thrones prequel series, House of the Dragon (2022–present). He has scored films such as Clash of the Titans, Pacific Rim, Warcraft, A Wrinkle in Time, Iron Man and Eternals, television series including Prison Break https://www.last.fm/music/Ramin+Djawadi",940882,47085937,Hans Zimmer
Ariana DeBose,"Ariana DeBose (/ˌɑːriˈɑːnə dəˈboʊz/;[1] born January 25, 1991) is an American actress, dancer, and singer. She has received multiple accolades, including an Academy Award, a British Academy Film Award, a Golden Globe Award and a nomination for a Tony Award. In 2022, Time magazine named her one of the 100 most influential people in the world.[2] https://www.last.fm/music/Ariana+DeBose",237954,1726265,Okieriete Onaodowan
Gareth Coker,"Gareth Coker is a British composer for film, games, and commercials. Since moving from Japan to Los Angeles in 2009, Gareth has developed a compositional style focusing on memorable, melodically-driven themes and motifs, combined with unique, and unconventional soundscapes. This approach, and his ability to apply it in a way that always serves to enhance the story earned him the attention of Moon Studios, which led to a highly successful collaboration on the acclaimed game Ori and the Blind Forest https://www.last.fm/music/Gareth+Coker",256171,7997170,Austin Wintory
Das Sound Machine,https://www.last.fm/music/Das+Sound+Machine,101710,765387,The Barden Bellas
MAN WITH A MISSION,"MAN WITH A MISSION is a Japanese band formed in Shibuya, Tokyo,  Japan in 2010. Their music can be described as alternative rock, rap metal, pop rock or pop-punk with new metal and pop influences.

Members:
Vocals: トーキョー・タナカ (Tokyo Tanaka)
Guitar, Chorus & Rap: ジャンケン・ジョニー (Jean-Ken Johnny)
Bass: カミカゼ・ボーイ (Kamikaze Boy)
DJ, Sampling, Scratches: ディージェイ・サンタ・モニカ (DJ Santa Monica) https://www.last.fm/music/MAN+WITH+A+MISSION",275512,8494217,Survive Said The Prophet
菅野祐悟,"菅野祐悟 (Yugo Kanno; born on June 5, 1977), is a Japanese soundtrack and classical composer. Famous for Psycho-Pass and JoJo's Bizarre Adventure. He combines contemporary musical styles like EDM and RC with classical and 20th Century film music.

Kanno was born in Saitama, Japan. He attended junior high school in Kawagoe before later moving to Takanezawa for university. While attending school, he was fascinated by Impressionist and Modern Classical Music. https://www.last.fm/music/%E8%8F%85%E9%87%8E%E7%A5%90%E6%82%9F",17726,892422,岩崎琢
Kyle Dixon & Michael Stein,"Kyle Dixon & Michael Stein are members of the American synth band S U R V I V E and authors of the soundtrack to Netflix's hit series ""Stranger Things"". Just as its story goes deep referencing the classics of VHS era science fiction and horror movies, Dixon and Stein's music is hugely inspired by the likes of John Carpenter and Tangerine Dream, the masters of tension and synth soundscapes. Even indebted to the classic, they've still managed to create instantly recognizable classic themes, making the series even more mysterious and memorable. https://www.last.fm/music/Kyle+Dixon+&+Michael+Stein",470678,11454302,Benjamin Wallfisch
MOB CHOIR,"Mob Choir is the name of a Japanese musical project specially created for the anime ""Mob Psycho 100"".

The main vocalist is Sana (also known as ""37"", may 25th, 1999), a Japanese singer member of the band Sajou no Hana. ""99"" was composed by Junichi Sasaki and Takeshi Masuda and played (guitars and bass) by Masuda. The lyricists were Sasaki and ONE. ""99.9"", on the other hand, was performed by Sajou no Hana. https://www.last.fm/music/MOB+CHOIR",169716,3780933,OxT
林ゆうき,"Hayashi Yuki, (林ゆうき), (Born December 31st 1980) is a Japanese music composer and arranger for rhythmic gymnastics, independent movies and TV drama.

He used to be a rhythmic gymnast, and during University, he started out making music for shows, as a hobby for 5’000 yen a piece. Then, he got many request from other school students who liked his tunes, and quickly, he became a music producer of rhythmic gymnastics. 
After graduation, Hayashi Yuki was taught music for 6 months by a music producer of rhythmic gymnastics https://www.last.fm/music/%E6%9E%97%E3%82%86%E3%81%86%E3%81%8D",10233,767726,Asami Tachibana
THE ORAL CIGARETTES,"THE ORAL CIGARETTES is a Japanese rock band from Nara Prefecture, formed in 2010. The band consist of vocalist and guitarist Takuya Yamanaka, guitarist Shigenobu Suzuki, bassist and backing vocalist Akirakani Akira and drummer Masaya Nakanishi.

The band was formed by vocalist Takuya and bassist Akira. Takuya used to work at a bank but he didn’t like working under someone else so he decided to make music instead. They were joined by guitarist Shigenobu, who went to the same kindergarten as Takuya. https://www.last.fm/music/THE+ORAL+CIGARETTES",410433,11962221,Hello Sleepwalkers
La La Land Cast,"La La Land is a 2016 American musical romantic comedy-drama film written and directed by Damien Chazelle, and starring Ryan Gosling and Emma Stone as a musician and an aspiring actress who meet and fall in love in Los Angeles. The film's title refers both to the city of Los Angeles and to the idiom for being out of touch with reality. https://www.last.fm/music/La+La+Land+Cast",351631,3580225,"Emma Stone, Callie Hernandez, Sonoya Mizuno & Jessica Rothe"
Ben Platt,"Ben Platt is an American actor, singer, and songwriter. He began his career in theater, gaining notoriety in the Broadway productions of The Book of Mormon (2012–2013) and playing the title character in the critically acclaimed stage play Dear Evan Hansen (2015–2017),  for which he won multiple awards including the 2017 Tony Award for Best Actor in a Musical, the 2017 Grammy Award for Best Musical Theater Album and the 2018 Emmy Award for Outstanding Musical Performance in a Daytime Program, alongside the Dear Evan Hansen cast.  https://www.last.fm/music/Ben+Platt",566322,15907755,Rachel Bay Jones
Ryan Gosling,"Ryan Gosling (born November 12,1980 in London, Ontario, Canada) mostly known for his acting in indie and studio movies, has deep roots in song. 

Gosling hasn't released much, but often performs at jazz clubs. He did background vocals on the Canadian group soulDecisions 2000 release, still most of what the public has are clips from the movie Wild Roomies (2004) in which he created much of the soundtrack. 

His current project is a vocalist/guitarist for the band Dead Man's Bones alongside vocalist/guitarist Zach Shields. https://www.last.fm/music/Ryan+Gosling",1026587,16633450,Andrew Garfield
Robert D.,https://www.last.fm/music/Robert+D.,61386,373292,Crooked Colours
ConcernedApe,"Eric Barone (born December 3, 1987), known professionally as ConcernedApe, is an American game designer and musician. He is best known for independently creating the video game Stardew Valley. He programmed the game, created all art assets as well as all sound effects and music.

Barone was born in Los Angeles and spent his childhood in Auburn, Washington. Barone had practiced basic programming but did not consider making video games as a career. Unable to find employment after graduating college https://www.last.fm/music/ConcernedApe",364006,16900513,Max LL
Fernando Velázquez,"Fernando Velázquez  age, 33, Fernando Velázquez already has experience in the world of cinema, and especially in the horror genre, having worked on movies like The Birthday by Eugenio Mira, Bosque de Sombras (“The Backwoods”) by Koldo Serra and El Sindrome Svensson by Kepa Sojo. Fernando came to international prominence with his score for The Orphanage, which earned nominations for the European Film Award and the Goya Award. Recently, Fernando has also written the music for Shiver, Sexy Killer and El mal ajeno. https://www.last.fm/music/Fernando+Vel%C3%A1zquez",152849,1277472,William Ross
下村陽子,"Yoko Shimomura (Japanese: 下村 陽子, Hepburn: Shimomura Yōko; born October 19, 1967) is a Japanese composer and pianist best known for her work in video game music. She graduated from the Osaka College of Music in 1988 and joined Capcom the same year, where she composed music for titles such as ""Final Fight,"" ""Street Fighter II,"" and ""The King of Dragons.""

In 1993, Shimomura left Capcom to join Square (now Square Enix). Her first project there was ""Live A Live https://www.last.fm/music/%E4%B8%8B%E6%9D%91%E9%99%BD%E5%AD%90",117361,5550255,Tsuyoshi Sekito
Christopher Fitzgerald,"Christopher Fitzgerald is an American actor, singer, mime, clown, juggler, and acrobat. He is best known for his role as Boq in the musical Wicked and his role of Igor in Young Frankenstein (musical).

He was born in Bryn Mawr, Pennsylvania, on November 26, 1972. He graduated with a Bachelor of Arts in Theater from Rollins College in Winter Park, Florida. He is a member of Alpha Tau Omega fraternity. He also gained a Masters Degree in Fine Arts from the American Conservatory Theater in San Francisco. https://www.last.fm/music/Christopher+Fitzgerald",266828,2401403,Idina Menzel & Leo Norbert Butz
